YEAR,Quarter,Trimester_ID,ALLSKY_KT,QV2M,T2MDEW,PRECTOTCORR_SUM,PRECTOTCORR,Cluster,Grados Brix
2016,1.0,5.0,0.6733333333333333,8.37,8.77,3.273333333333333,0.1066666666666666,0,28
2016,2.0,6.0,0.63,10.553333333333333,12.063333333333333,49.82333333333333,1.653333333333333,0,26
2016,3.0,7.0,0.5166666666666667,14.836666666666666,18.1,182.89,5.966666666666666,1,28
2016,4.0,8.0,0.6166666666666667,12.340000000000002,14.973333333333334,35.17,1.15,0,25
2017,1.0,9.0,0.69,8.383333333333333,8.996666666666668,3.0133333333333336,0.0966666666666666,0,21
2017,2.0,10.0,0.6566666666666666,9.763333333333334,10.456666666666669,36.06666666666667,1.2,0,27
2017,3.0,11.0,0.4933333333333333,15.02,18.3,217.29666666666665,7.093333333333334,1,34
2017,4.0,12.0,0.6466666666666666,12.136666666666663,14.473333333333334,27.456666666666663,0.8833333333333334,0,18
2018,1.0,13.0,0.6633333333333333,9.146666666666668,10.363333333333332,8.799999999999999,0.2966666666666667,0,25
2018,2.0,14.0,0.6266666666666666,11.183333333333332,12.853333333333332,87.10666666666667,2.876666666666667,0,24
2018,3.0,15.0,0.5266666666666667,14.566666666666668,17.813333333333333,168.8733333333333,5.513333333333333,1,34
2018,4.0,16.0,0.5933333333333334,11.75,14.05,78.96666666666667,2.5766666666666667,0,25
2019,1.0,17.0,0.7033333333333333,9.466666666666669,10.876666666666663,2.776666666666667,0.09,0,19
2019,2.0,18.0,0.6533333333333333,9.776666666666666,10.456666666666663,37.60333333333333,1.25,0,26
2019,3.0,19.0,0.5266666666666667,14.98,18.25,221.52,7.253333333333333,1,31
2019,4.0,20.0,0.6033333333333334,13.036666666666669,15.823333333333332,59.61333333333334,1.9366666666666663,0,20
2020,1.0,21.0,0.6566666666666666,10.016666666666666,11.716666666666669,29.256666666666664,0.98,0,18
2020,2.0,22.0,0.6766666666666666,9.916666666666666,11.183333333333332,43.06,1.43,0,23
2020,3.0,23.0,0.51,15.143333333333333,18.406666666666663,218.32666666666668,7.113333333333333,1,31
2020,4.0,24.0,0.6733333333333333,11.716666666666669,13.96,19.53333333333333,0.63,0,19
2021,1.0,25.0,0.7200000000000001,8.216666666666667,8.566666666666668,0.6966666666666667,0.0233333333333333,0,20
2021,2.0,26.0,0.62,10.176666666666668,11.146666666666668,93.76333333333334,3.123333333333333,0,26
2021,3.0,27.0,0.5066666666666667,15.233333333333334,18.543333333333333,219.2733333333333,7.140000000000001,1,30
2021,4.0,28.0,0.65,12.14,14.573333333333332,32.74,1.0566666666666666,0,23
2022,1.0,29.0,0.71,8.216666666666667,8.51,0.4133333333333333,0.0133333333333333,0,28
2022,2.0,30.0,0.6433333333333333,10.216666666666669,11.483333333333334,51.1,1.7000000000000002,0,19
2022,3.0,31.0,0.52,15.166666666666666,18.46333333333333,189.8033333333333,6.18,1,33
2022,4.0,32.0,0.6366666666666667,12.226666666666668,14.806666666666668,33.13333333333333,1.0733333333333337,0,28
